district,date,month,year,visitors,type
Adilabad,01-01-2016,January,2016,792136,domestic
Adilabad,01-02-2016,February,2016,937820,domestic
Adilabad,01-03-2016,March,2016,582946,domestic
Adilabad,01-04-2016,April,2016,341948,domestic
Adilabad,01-05-2016,May,2016,252887,domestic
Adilabad,01-06-2016,June,2016,368237,domestic
Adilabad,01-07-2016,July,2016,447562,domestic
Adilabad,01-08-2016,August,2016,614285,domestic
Adilabad,01-09-2016,September,2016,491279,domestic
Adilabad,01-10-2016,October,2016,94184,domestic
Adilabad,01-11-2016,November,2016,99148,domestic
Adilabad,01-12-2016,December,2016,53125,domestic
Bhadradri Kothagudem ,01-01-2016,January,2016, ,domestic
Bhadradri Kothagudem ,01-02-2016,February,2016, ,domestic
Bhadradri Kothagudem ,01-03-2016,March,2016, ,domestic
Bhadradri Kothagudem ,01-04-2016,April,2016, ,domestic
Bhadradri Kothagudem ,01-05-2016,May,2016, ,domestic
Bhadradri Kothagudem ,01-06-2016,June,2016, ,domestic
Bhadradri Kothagudem ,01-07-2016,July,2016, ,domestic
Bhadradri Kothagudem ,01-08-2016,August,2016, ,domestic
Bhadradri Kothagudem ,01-09-2016,September,2016, ,domestic
Bhadradri Kothagudem ,01-10-2016,October,2016,310133,domestic
Bhadradri Kothagudem ,01-11-2016,November,2016,252127,domestic
Bhadradri Kothagudem ,01-12-2016,December,2016,326770,domestic
Hyderabad,01-01-2016,January,2016,1122510,domestic
Hyderabad,01-02-2016,February,2016,778748,domestic
Hyderabad,01-03-2016,March,2016,1017794,domestic
Hyderabad,01-04-2016,April,2016,1127738,domestic
Hyderabad,01-05-2016,May,2016,1287181,domestic
Hyderabad,01-06-2016,June,2016,12032661,domestic
Hyderabad,01-07-2016,July,2016,1096754,domestic
Hyderabad,01-08-2016,August,2016,1061137,domestic
Hyderabad,01-09-2016,September,2016,832987,domestic
Hyderabad,01-10-2016,October,2016,901960,domestic
Hyderabad,01-11-2016,November,2016,909733,domestic
Hyderabad,01-12-2016,December,2016,1225502,domestic
Jagtial ,01-01-2016,January,2016, ,domestic
Jagtial ,01-02-2016,February,2016, ,domestic
Jagtial ,01-03-2016,March,2016, ,domestic
Jagtial ,01-04-2016,April,2016, ,domestic
Jagtial ,01-05-2016,May,2016, ,domestic
Jagtial ,01-06-2016,June,2016, ,domestic
Jagtial ,01-07-2016,July,2016, ,domestic
Jagtial ,01-08-2016,August,2016, ,domestic
Jagtial ,01-09-2016,September,2016, ,domestic
Jagtial ,01-10-2016,October,2016,201249,domestic
Jagtial ,01-11-2016,November,2016,214534,domestic
Jagtial ,01-12-2016,December,2016,207294,domestic
Jangaon ,01-01-2016,January,2016, ,domestic
Jangaon ,01-02-2016,February,2016, ,domestic
Jangaon ,01-03-2016,March,2016, ,domestic
Jangaon ,01-04-2016,April,2016, ,domestic
Jangaon ,01-05-2016,May,2016, ,domestic
Jangaon ,01-06-2016,June,2016, ,domestic
Jangaon ,01-07-2016,July,2016, ,domestic
Jangaon ,01-08-2016,August,2016, ,domestic
Jangaon ,01-09-2016,September,2016, ,domestic
Jangaon ,01-10-2016,October,2016,14770,domestic
Jangaon ,01-11-2016,November,2016,13210,domestic
Jangaon ,01-12-2016,December,2016,12680,domestic
Jayashankar Bhoopalpally,01-01-2016,January,2016, ,domestic
Jayashankar Bhoopalpally,01-02-2016,February,2016, ,domestic
Jayashankar Bhoopalpally,01-03-2016,March,2016, ,domestic
Jayashankar Bhoopalpally,01-04-2016,April,2016, ,domestic
Jayashankar Bhoopalpally,01-05-2016,May,2016, ,domestic
Jayashankar Bhoopalpally,01-06-2016,June,2016, ,domestic
Jayashankar Bhoopalpally,01-07-2016,July,2016, ,domestic
Jayashankar Bhoopalpally,01-08-2016,August,2016, ,domestic
Jayashankar Bhoopalpally,01-09-2016,September,2016, ,domestic
Jayashankar Bhoopalpally,01-10-2016,October,2016,76360,domestic
Jayashankar Bhoopalpally,01-11-2016,November,2016,81580,domestic
Jayashankar Bhoopalpally,01-12-2016,December,2016,85460,domestic
Jogulamba Gadwal ,01-01-2016,January,2016, ,domestic
Jogulamba Gadwal ,01-02-2016,February,2016, ,domestic
Jogulamba Gadwal ,01-03-2016,March,2016, ,domestic
Jogulamba Gadwal ,01-04-2016,April,2016, ,domestic
Jogulamba Gadwal ,01-05-2016,May,2016, ,domestic
Jogulamba Gadwal ,01-06-2016,June,2016, ,domestic
Jogulamba Gadwal ,01-07-2016,July,2016, ,domestic
Jogulamba Gadwal ,01-08-2016,August,2016, ,domestic
Jogulamba Gadwal ,01-09-2016,September,2016, ,domestic
Jogulamba Gadwal ,01-10-2016,October,2016,152898,domestic
Jogulamba Gadwal ,01-11-2016,November,2016,188170,domestic
Jogulamba Gadwal ,01-12-2016,December,2016,182333,domestic
Kamareddy ,01-01-2016,January,2016, ,domestic
Kamareddy ,01-02-2016,February,2016, ,domestic
Kamareddy ,01-03-2016,March,2016, ,domestic
Kamareddy ,01-04-2016,April,2016, ,domestic
Kamareddy ,01-05-2016,May,2016, ,domestic
Kamareddy ,01-06-2016,June,2016, ,domestic
Kamareddy ,01-07-2016,July,2016, ,domestic
Kamareddy ,01-08-2016,August,2016, ,domestic
Kamareddy ,01-09-2016,September,2016, ,domestic
Kamareddy ,01-10-2016,October,2016,47,domestic
Kamareddy ,01-11-2016,November,2016,38,domestic
Kamareddy ,01-12-2016,December,2016,42,domestic
Karimnagar ,01-01-2016,January,2016,1984442,domestic
Karimnagar ,01-02-2016,February,2016,779960,domestic
Karimnagar ,01-03-2016,March,2016,1018399,domestic
Karimnagar ,01-04-2016,April,2016,956959,domestic
Karimnagar ,01-05-2016,May,2016,1095642,domestic
Karimnagar ,01-06-2016,June,2016,914746,domestic
